origin_date,horizon,target,target_end_date,location,output_type,output_type_id,value,age_group
2024-12-01,3,inc hosp,2024-12-21,US,quantile,0.5,7819.2510286952975,0-130
2024-12-01,3,inc hosp,2024-12-21,US,quantile,0.55,8083.534132979044,0-130
2024-12-01,3,inc hosp,2024-12-21,US,quantile,0.6,8361.158867404172,0-130
2024-12-01,3,inc hosp,2024-12-21,US,quantile,0.65,8656.917316915291,0-130
2024-12-01,3,inc hosp,2024-12-21,US,quantile,0.7,8985.268591022073,0-130
2024-12-01,3,inc hosp,2024-12-21,US,quantile,0.75,9360.103913546,0-130
2024-12-01,3,inc hosp,2024-12-21,US,quantile,0.8,9808.488320932604,0-130
2024-12-01,3,inc hosp,2024-12-21,US,quantile,0.85,10383.325140012503,0-130
2024-12-01,3,inc hosp,2024-12-21,US,quantile,0.9,11206.132409683207,0-130
2024-12-01,3,inc hosp,2024-12-21,US,quantile,0.95,12685.818840880716,0-130
2024-12-01,3,inc hosp,2024-12-21,US,quantile,0.975,14325.892867959741,0-130
2024-12-01,3,inc hosp,2024-12-21,US,quantile,0.99,16967.696914012104,0-130
2024-12-01,4,inc hosp,2024-12-28,US,quantile,0.01,2928.480570217223,0-130
2024-12-01,4,inc hosp,2024-12-28,US,quantile,0.025,3959.437969479109,0-130
2024-12-01,4,inc hosp,2024-12-28,US,quantile,0.05,4629.509541501747,0-130
2024-12-01,4,inc hosp,2024-12-28,US,quantile,0.1,5337.613405754905,0-130
2024-12-01,4,inc hosp,2024-12-28,US,quantile,0.15,5802.289541119142,0-130
2024-12-01,4,inc hosp,2024-12-28,US,quantile,0.2,6169.269034550229,0-130
2024-12-01,4,inc hosp,2024-12-28,US,quantile,0.25,6486.966920979074,0-130
2024-12-01,4,inc hosp,2024-12-28,US,quantile,0.3,6774.2427943628845,0-130
2024-12-01,4,inc hosp,2024-12-28,US,quantile,0.35,7043.8211510151195,0-130
2024-12-01,4,inc hosp,2024-12-28,US,quantile,0.4,7304.196183168216,0-130
2024-12-01,4,inc hosp,2024-12-28,US,quantile,0.45,7560.8807767168955,0-130
2024-12-01,4,inc hosp,2024-12-28,US,quantile,0.5,7819.2510286952975,0-130
2024-12-01,4,inc hosp,2024-12-28,US,quantile,0.55,8083.534132979044,0-130
2024-12-01,4,inc hosp,2024-12-28,US,quantile,0.6,8361.158867404172,0-130
2024-12-01,4,inc hosp,2024-12-28,US,quantile,0.65,8656.917316915291,0-130
2024-12-01,4,inc hosp,2024-12-28,US,quantile,0.7,8985.268591022073,0-130
2024-12-01,4,inc hosp,2024-12-28,US,quantile,0.75,9360.103913546,0-130
2024-12-01,4,inc hosp,2024-12-28,US,quantile,0.8,9808.488320932604,0-130
2024-12-01,4,inc hosp,2024-12-28,US,quantile,0.85,10383.325140012503,0-130
2024-12-01,4,inc hosp,2024-12-28,US,quantile,0.9,11206.132409683207,0-130
2024-12-01,4,inc hosp,2024-12-28,US,quantile,0.95,12685.818840880716,0-130
2024-12-01,4,inc hosp,2024-12-28,US,quantile,0.975,14325.892867959741,0-130
2024-12-01,4,inc hosp,2024-12-28,US,quantile,0.99,16967.696914012104,0-130
